date,PM10,PM2.5,NO,NO2,NOX,CO,SO2,NH3,Ozone,Benzene,AQI
11-03-2023,107.1145833,56.14583333,9.334040729,50.08867075,34.30867572,1.483905394,55.046578,10.37638085,37.7777481,0.174082872,105.0627097
12-03-2023,178.3367571,80.45833333,15.66868844,60.87624444,45.18944376,1.263291521,69.05659195,10.19320111,28.80977608,0.173077015,167.4267241
13-03-2023,165.0643556,80.92708333,11.81473775,48.88666395,35.5106115,1.225157641,44.49728243,10.25355145,50.81650021,0.172050628,169.0269397
14-03-2023,139.6755604,90.34941525,9.052670459,44.62720129,31.11071876,1.538701647,39.27165498,13.05930902,44.17706092,0.171003708,126.6971844
15-03-2023,249.4697546,104.28125,21.20613227,50.96911324,44.29388731,1.216225699,55.42967053,11.52462008,36.36221537,0.169936257,246.3394397
16-03-2023,207.40625,98.11458333,15.22898596,47.00083093,37.36941337,1.472094303,63.25831903,10.9088977,32.76079116,0.168848275,225.2877155
17-03-2023,141.7708333,89.55208333,6.368132299,45.5823191,29.41913314,1.740130402,36.89089524,11.15973426,44.78417378,0.167739761,198.4709052
18-03-2023,93.54166667,57.78125,5.761405541,40.49048592,26.19102014,2.174813162,16.21333393,10.21868724,40.31018835,0.166610716,101.937532
19-03-2023,114.3343287,62.58333333,12.76365184,52.92290036,38.51926469,1.577080082,59.46189892,9.774540074,27.43571582,0.165461139,109.8597217
20-03-2023,79.29166667,50.91666667,10.92188508,52.83633091,37.13246864,1.053910331,47.49130825,9.509883942,20.77134028,0.164291031,84.65229885
21-03-2023,72.93408425,44.80208333,5.989535031,38.37277726,25.21232871,2.081449741,14.50681425,10.08683708,49.02178462,0.163100392,74.32076149
22-03-2023,85,45.78125,12.96980848,41.88671523,32.83428039,1.789489978,13.06344427,8.918519997,40.3002395,0.161889221,88.53889883
23-03-2023,259.0359907,63.84375,19.1982712,48.36928151,41.29281248,2.149489377,12.84042514,9.986086154,30.43976365,0.160657519,209.0359907
24-03-2023,212.2220054,99.1311319,27.9384377,54.43527355,51.4991106,2.342281271,43.3642362,11.55156148,29.3932883,0.159405285,228.758002
25-03-2023,124.3958333,61,11.2953759,44.99328215,33.11363049,1.584115658,11.98822904,11.31481808,35.73472323,0.15813252,116.5448826
26-03-2023,168.7541597,77.30208333,9.444653713,48.36970388,33.34747404,1.915200874,30.05462385,11.12045221,38.22085173,0.156839223,156.6519397
27-03-2023,189.71875,87.10416667,17.08101503,55.49919037,43.33292943,2.021470602,42.99228222,10.52624659,34.24535942,0.155525395,190.1142241
28-03-2023,246.96875,99.60246019,20.36521177,59.29459057,48.11024079,2.226061288,50.21249099,10.05965048,42.38823954,0.154191035,230.3670193
29-03-2023,181.5092665,88.65625,16.60390862,57.11976048,43.93603091,1.873336487,57.32223242,10.08717728,34.25258382,0.152288652,195.4127155
30-03-2023,235.9381687,97.05208333,19.76125384,57.56570134,46.74807188,1.761945848,61.41522624,9.403741524,35.74064998,0.151460722,221.6605603
31-03-2023,142.4271181,37.79043791,4.785373754,42.16492149,26.25196471,1.755118536,32.49601313,8.560653521,35.52465415,0.150064768,128.5254006
01-04-2023,75.20675836,34.73958333,5.100709759,37.94053879,24.32227,1.600354551,17.04632147,8.334856135,40.45417639,0.148648283,78.24152557
02-04-2023,147.5586335,57.66666667,13.1165523,42.35739934,33.21500471,1.652028895,14.59965557,8.573519644,34.10412567,0.147211266,131.934931
03-04-2023,407.6849944,101.21875,23.20610328,44.2836549,42.42385086,1.849356547,10.0822594,9.144924307,28.8686136,0.145753718,372.0356259
04-04-2023,241.132063,95.92708333,17.86570728,38.01257894,34.73977671,1.508442566,7.709587071,9.73150711,41.55181064,0.144275638,217.8200431
05-04-2023,142.4939582,65.82291667,9.014953751,43.1704972,30.28136362,1.758390226,18.81015002,9.153972444,35.27435086,0.142777027,128.5698112
06-04-2023,212.9257833,98.63541667,18.21944355,51.56758369,42.25165552,2.257588714,39.72454924,9.41398261,25.53195919,0.141257884,227.0657328
07-04-2023,259.1277935,104.1666667,21.04183915,60.07126637,49.09178271,1.434683864,68.10682475,9.102109688,28.11290586,0.13971821,245.9482759
08-04-2023,275.327036,115.0520833,15.88768951,52.41575621,40.72659456,1.934154841,35.54541293,9.982181043,27.70351435,0.138158005,283.1088362
09-04-2023,166.0625,90.98958333,8.997710016,49.54630614,33.64094756,1.131626646,34.51944518,9.663380853,34.96795702,0.136577268,144.2294463
10-04-2023,147.8645833,64.86458333,5.330891705,43.91142004,27.7125393,1.243974278,23.82502009,8.112345307,45.28889299,0.134976,132.1382131
11-04-2023,209.2469884,94.84375,14.33613211,48.77823302,37.63699442,1.593489406,20.00184678,10.35422601,41.77050454,0.1333542,214.1217672
12-04-2023,205.3662285,89.42708333,13.3527226,48.39569388,36.62679523,1.269963694,21.97897753,11.29035129,48.08958911,0.131711869,198.044181
13-04-2023,304.5040753,127.1823023,12.48134252,51.58170559,37.57865158,1.253605477,23.98723394,13.24563908,50.577489,0.130049007,305.7445576
14-04-2023,219.2291667,99.17899057,16.41961145,59.42763579,44.80154141,1.509564677,52.40877943,12.0763624,40.19569863,0.128365612,228.9213816
