#,from,to,PM10,PM2.5,NO,NO2,NOX,CO,SO2,NH3,Ozone,Benzene
1,2023-02-01 00:00:00,2023-02-01 00:15:00,95.0,35.0,,90.1,56.2,0.31,,17.7,28.1,0.4
2,2023-02-01 00:15:00,2023-02-01 00:30:00,95.0,35.0,,88.0,55.1,0.33,,18.3,27.1,0.4
3,2023-02-01 00:30:00,2023-02-01 00:45:00,95.0,35.0,,87.7,55.2,0.38,,19.7,24.9,0.4
4,2023-02-01 00:45:00,2023-02-01 01:00:00,122.0,34.0,,88.9,55.7,0.38,,21.3,21.9,0.4
5,2023-02-01 01:00:00,2023-02-01 01:15:00,122.0,34.0,,90.0,55.8,0.38,,22.3,16.7,0.4
6,2023-02-01 01:15:00,2023-02-01 01:30:00,122.0,34.0,,90.2,55.9,0.37,,22.7,16.1,0.4
7,2023-02-01 01:30:00,2023-02-01 01:45:00,122.0,34.0,,88.9,55.4,0.34,,23.1,22.5,0.4
8,2023-02-01 01:45:00,2023-02-01 02:00:00,90.0,35.0,,88.9,55.2,0.35,,23.5,20.5,0.4
9,2023-02-01 02:00:00,2023-02-01 02:15:00,90.0,35.0,,88.9,55.9,0.34,,23.1,22.8,0.4
10,2023-02-01 02:15:00,2023-02-01 02:30:00,90.0,35.0,,88.9,55.3,0.35,,22.9,19.0,0.4
11,2023-02-01 02:30:00,2023-02-01 02:45:00,90.0,35.0,,88.8,55.4,0.39,,22.6,17.1,0.4
12,2023-02-01 02:45:00,2023-02-01 03:00:00,72.0,32.0,,88.9,55.1,0.46,,22.5,19.1,0.4
13,2023-02-01 03:00:00,2023-02-01 03:15:00,72.0,32.0,,88.9,55.8,0.47,,22.7,18.2,0.4
14,2023-02-01 03:15:00,2023-02-01 03:30:00,72.0,32.0,,87.7,55.5,0.44,,22.5,18.0,0.4
15,2023-02-01 03:30:00,2023-02-01 03:45:00,72.0,32.0,,85.6,54.2,0.41,,22.7,15.7,0.4
16,2023-02-01 03:45:00,2023-02-01 04:00:00,72.0,44.0,,84.9,54.1,0.41,,23.2,13.8,0.4
17,2023-02-01 04:00:00,2023-02-01 04:15:00,72.0,44.0,,84.5,53.7,0.41,,23.4,16.4,0.4
18,2023-02-01 04:15:00,2023-02-01 04:30:00,72.0,44.0,,83.6,53.0,0.42,,21.3,16.9,0.4
19,2023-02-01 04:30:00,2023-02-01 04:45:00,72.0,44.0,,82.7,52.3,0.39,,19.9,16.7,0.4
20,2023-02-01 04:45:00,2023-02-01 05:00:00,58.0,28.0,,81.3,51.5,0.37,,18.8,18.9,0.4
21,2023-02-01 05:00:00,2023-02-01 05:15:00,58.0,28.0,,80.0,51.2,0.34,,18.3,22.8,0.4
22,2023-02-01 05:15:00,2023-02-01 05:30:00,58.0,28.0,,80.1,51.4,0.33,,17.3,22.7,0.4
23,2023-02-01 05:30:00,2023-02-01 05:45:00,58.0,28.0,,78.9,51.1,0.32,,17.2,23.7,0.4
24,2023-02-01 05:45:00,2023-02-01 06:00:00,58.0,33.0,,78.6,50.6,0.32,,17.7,24.1,0.4
25,2023-02-01 06:00:00,2023-02-01 06:15:00,58.0,33.0,,79.3,49.9,0.31,,17.6,22.4,0.4
26,2023-02-01 06:15:00,2023-02-01 06:30:00,58.0,33.0,,77.9,49.5,0.31,,17.5,17.5,0.4
27,2023-02-01 06:30:00,2023-02-01 06:45:00,58.0,33.0,,76.7,49.0,0.31,,18.0,15.8,0.4
28,2023-02-01 06:45:00,2023-02-01 07:00:00,67.0,45.0,,75.7,48.6,0.33,,18.2,14.0,0.4
29,2023-02-01 07:00:00,2023-02-01 07:15:00,67.0,45.0,,76.1,49.0,0.37,,18.0,11.0,0.4
30,2023-02-01 07:15:00,2023-02-01 07:30:00,67.0,45.0,,76.3,49.0,0.45,,19.1,9.3,0.4
31,2023-02-01 07:30:00,2023-02-01 07:45:00,67.0,45.0,,75.9,48.9,0.52,,18.8,12.5,0.4
32,2023-02-01 07:45:00,2023-02-01 08:00:00,83.0,68.0,,76.6,49.3,0.47,,18.1,22.1,0.4
33,2023-02-01 08:00:00,2023-02-01 08:15:00,83.0,68.0,,79.1,50.8,0.49,,17.3,30.1,0.4
34,2023-02-01 08:15:00,2023-02-01 08:30:00,83.0,68.0,,78.9,50.6,0.34,,18.2,35.8,0.4
35,2023-02-01 08:30:00,2023-02-01 08:45:00,83.0,68.0,,77.8,49.1,0.29,,20.4,36.9,0.4
36,2023-02-01 08:45:00,2023-02-01 09:00:00,122.0,46.0,,79.1,48.9,0.26,,21.7,,0.4
37,2023-02-01 09:00:00,2023-02-01 09:15:00,122.0,46.0,,80.4,48.6,0.26,,23.2,,0.4
38,2023-02-01 09:15:00,2023-02-01 09:30:00,122.0,46.0,,81.1,48.1,0.26,,23.4,44.5,0.4
39,2023-02-01 09:30:00,2023-02-01 09:45:00,122.0,46.0,,82.1,47.7,0.26,,22.4,44.6,0.4
40,2023-02-01 09:45:00,2023-02-01 10:00:00,99.0,31.0,,80.4,46.7,,,23.7,45.8,0.4
41,2023-02-01 10:00:00,2023-02-01 10:15:00,99.0,31.0,,77.9,45.5,,,25.1,47.3,0.4
42,2023-02-01 10:15:00,2023-02-01 10:30:00,99.0,31.0,,77.4,45.1,1.1,,27.0,48.6,0.4
43,2023-02-01 10:30:00,2023-02-01 10:45:00,99.0,31.0,,76.0,44.3,0.27,,28.2,49.2,0.2
44,2023-02-01 10:45:00,2023-02-01 11:00:00,64.0,22.0,,75.1,44.2,0.25,,26.6,50.4,0.1
45,2023-02-01 11:00:00,2023-02-01 11:15:00,64.0,22.0,,75.4,43.8,0.24,,25.8,51.7,0.1
46,2023-02-01 11:15:00,2023-02-01 11:30:00,64.0,22.0,,74.9,42.9,0.23,,24.8,53.4,0.1
47,2023-02-01 11:30:00,2023-02-01 11:45:00,64.0,22.0,,73.2,41.6,0.22,,24.9,52.1,0.1
48,2023-02-01 11:45:00,2023-02-01 12:00:00,64.0,23.0,,,,0.14,,,,0.1
49,2023-02-01 12:00:00,2023-02-01 12:15:00,64.0,23.0,,,,0.15,,,,0.1
50,2023-02-01 12:15:00,2023-02-01 12:30:00,64.0,23.0,,,,0.31,,24.0,,0.1
51,2023-02-01 12:30:00,2023-02-01 12:45:00,64.0,23.0,,64.0,36.4,0.29,,24.0,,0.1
52,2023-02-01 12:45:00,2023-02-01 13:00:00,61.0,23.0,,62.1,35.1,0.27,,21.9,58.6,0.1
53,2023-02-01 13:00:00,2023-02-01 13:15:00,61.0,23.0,,63.6,35.9,0.24,,20.6,59.8,0.1
54,2023-02-01 13:15:00,2023-02-01 13:30:00,61.0,23.0,,63.4,35.9,0.1,,20.1,57.1,0.1
55,2023-02-01 13:30:00,2023-02-01 13:45:00,61.0,23.0,,61.5,35.2,0.23,,20.4,56.5,0.1
56,2023-02-01 13:45:00,2023-02-01 14:00:00,73.0,18.0,,59.9,34.8,0.31,,20.5,56.9,0.1
57,2023-02-01 14:00:00,2023-02-01 14:15:00,73.0,18.0,,62.4,36.2,0.3,,20.7,56.8,0.1
58,2023-02-01 14:15:00,2023-02-01 14:30:00,73.0,18.0,,61.1,35.0,0.31,,21.5,57.1,0.1
59,2023-02-01 14:30:00,2023-02-01 14:45:00,73.0,18.0,,59.0,34.0,0.34,,22.0,55.0,0.1
60,2023-02-01 14:45:00,2023-02-01 15:00:00,63.0,14.0,,59.2,34.0,0.38,,20.8,56.3,0.1
61,2023-02-01 15:00:00,2023-02-01 15:15:00,63.0,14.0,,61.3,35.1,0.37,,20.7,,0.1
62,2023-02-01 15:15:00,2023-02-01 15:30:00,63.0,14.0,,61.7,35.6,0.3,,21.8,,0.1
63,2023-02-01 15:30:00,2023-02-01 15:45:00,63.0,14.0,,60.7,35.4,0.26,,22.7,,0.1
64,2023-02-01 15:45:00,2023-02-01 16:00:00,70.0,17.0,,59.5,35.3,0.29,,23.4,,0.1
65,2023-02-01 16:00:00,2023-02-01 16:15:00,70.0,17.0,,61.3,36.9,0.29,,23.1,48.6,0.1
66,2023-02-01 16:15:00,2023-02-01 16:30:00,70.0,17.0,,62.7,38.0,0.27,,23.1,49.2,0.1
67,2023-02-01 16:30:00,2023-02-01 16:45:00,70.0,17.0,,64.8,38.7,0.27,,24.6,49.8,0.1
68,2023-02-01 16:45:00,2023-02-01 17:00:00,100.0,20.0,,66.5,39.7,0.31,,26.2,47.8,0.1
69,2023-02-01 17:00:00,2023-02-01 17:15:00,100.0,20.0,,69.4,41.3,0.33,,28.0,44.6,0.1
70,2023-02-01 17:15:00,2023-02-01 17:30:00,100.0,20.0,,70.7,42.2,0.35,,30.3,42.6,0.1
71,2023-02-01 17:30:00,2023-02-01 17:45:00,100.0,20.0,,71.1,42.7,0.46,,29.0,37.1,0.1
72,2023-02-01 17:45:00,2023-02-01 18:00:00,146.0,41.0,,73.5,44.5,0.53,,28.0,28.0,0.1
73,2023-02-01 18:00:00,2023-02-01 18:15:00,146.0,41.0,,78.7,47.7,0.53,,26.5,36.2,0.1
74,2023-02-01 18:15:00,2023-02-01 18:30:00,146.0,41.0,,81.9,48.8,0.53,,25.6,39.5,0.1
75,2023-02-01 18:30:00,2023-02-01 18:45:00,146.0,41.0,,84.0,50.6,0.49,,24.5,40.5,0.1
76,2023-02-01 18:45:00,2023-02-01 19:00:00,239.0,44.0,,86.3,52.1,0.46,,24.5,43.3,0.1
77,2023-02-01 19:00:00,2023-02-01 19:15:00,239.0,44.0,,89.7,53.6,0.52,,24.1,33.4,0.1
78,2023-02-01 19:15:00,2023-02-01 19:30:00,239.0,44.0,,89.8,54.3,0.54,,24.0,31.8,0.1
79,2023-02-01 19:30:00,2023-02-01 19:45:00,239.0,44.0,,90.3,54.9,0.6,,24.2,32.0,0.1
80,2023-02-01 19:45:00,2023-02-01 20:00:00,239.0,50.0,,92.0,56.1,0.76,,23.7,24.4,0.1
81,2023-02-01 20:00:00,2023-02-01 20:15:00,239.0,50.0,,93.4,56.7,0.76,,24.1,23.0,0.1
82,2023-02-01 20:15:00,2023-02-01 20:30:00,239.0,50.0,,93.2,56.6,0.74,,24.3,18.4,0.1
83,2023-02-01 20:30:00,2023-02-01 20:45:00,239.0,50.0,,93.8,57.6,0.76,,24.7,18.0,0.1
84,2023-02-01 20:45:00,2023-02-01 21:00:00,250.0,42.0,,93.1,57.9,0.76,,24.4,15.7,0.1
85,2023-02-01 21:00:00,2023-02-01 21:15:00,250.0,42.0,,93.3,58.5,0.73,,23.4,12.6,0.1
86,2023-02-01 21:15:00,2023-02-01 21:30:00,250.0,42.0,,93.9,59.2,0.77,,21.6,10.0,0.1
87,2023-02-01 21:30:00,2023-02-01 21:45:00,250.0,42.0,,93.7,59.4,0.78,,20.2,11.2,0.1
88,2023-02-01 21:45:00,2023-02-01 22:00:00,219.0,42.0,,92.5,59.4,0.79,,19.6,11.4,0.1
89,2023-02-01 22:00:00,2023-02-01 22:15:00,219.0,42.0,,90.9,59.5,0.77,,19.2,13.1,0.1
90,2023-02-01 22:15:00,2023-02-01 22:30:00,219.0,42.0,,88.8,58.2,0.8,,19.0,13.0,0.1
91,2023-02-01 22:30:00,2023-02-01 22:45:00,219.0,42.0,,86.7,57.1,1.02,,19.4,12.7,0.1
92,2023-02-01 22:45:00,2023-02-01 23:00:00,207.0,50.0,,85.6,56.5,1.04,,19.6,17.0,0.1
93,2023-02-01 23:00:00,2023-02-01 23:15:00,207.0,50.0,,84.0,55.9,1.03,,19.7,16.6,0.1
94,2023-02-01 23:15:00,2023-02-01 23:30:00,207.0,50.0,,81.4,54.1,0.98,,19.8,17.4,0.1
95,2023-02-01 23:30:00,2023-02-01 23:45:00,207.0,50.0,,80.1,53.0,0.92,,19.7,19.6,0.1
96,2023-02-01 23:45:00,2023-02-02 00:00:00,178.0,61.0,,79.0,53.1,,,19.7,15.3,0.1
97,2023-02-02 00:00:00,2023-02-02 00:15:00,178.0,61.0,,78.8,52.6,1.37,,19.7,8.7,0.1
98,2023-02-02 00:15:00,2023-02-02 00:30:00,178.0,61.0,,78.3,51.8,1.28,,19.6,9.0,0.1
99,2023-02-02 00:30:00,2023-02-02 00:45:00,178.0,61.0,,77.5,51.8,1.19,,20.0,8.7,0.1
100,2023-02-02 00:45:00,2023-02-02 01:00:00,146.0,52.0,,76.8,51.6,1.16,,21.4,6.9,0.1
101,2023-02-02 01:00:00,2023-02-02 01:15:00,146.0,52.0,,77.9,52.2,1.12,,22.4,6.6,0.1
102,2023-02-02 01:15:00,2023-02-02 01:30:00,146.0,52.0,,79.2,52.7,1.12,,23.4,6.3,0.1
103,2023-02-02 01:30:00,2023-02-02 01:45:00,146.0,52.0,,80.0,53.5,1.11,,24.1,6.7,0.1
104,2023-02-02 01:45:00,2023-02-02 02:00:00,190.0,55.0,,80.9,53.6,1.11,,24.3,8.4,0.1
105,2023-02-02 02:00:00,2023-02-02 02:15:00,190.0,55.0,,81.1,53.9,1.11,,24.6,10.7,0.1
106,2023-02-02 02:15:00,2023-02-02 02:30:00,190.0,55.0,,80.2,53.2,1.1,,24.7,10.8,0.1
107,2023-02-02 02:30:00,2023-02-02 02:45:00,190.0,55.0,,79.3,52.4,1.05,,24.7,12.3,0.1
108,2023-02-02 02:45:00,2023-02-02 03:00:00,190.0,44.0,,78.7,52.0,1.05,,24.5,13.5,0.1
109,2023-02-02 03:00:00,2023-02-02 03:15:00,190.0,44.0,,77.5,51.1,1.06,,24.7,13.2,0.1
110,2023-02-02 03:15:00,2023-02-02 03:30:00,190.0,44.0,,76.2,50.4,1.09,,24.9,13.4,0.1
111,2023-02-02 03:30:00,2023-02-02 03:45:00,190.0,44.0,,75.0,49.1,1.06,,24.6,18.5,0.1
112,2023-02-02 03:45:00,2023-02-02 04:00:00,113.0,38.0,,73.9,48.3,1.05,,25.0,20.6,0.1
113,2023-02-02 04:00:00,2023-02-02 04:15:00,113.0,38.0,,72.9,47.6,1.05,,24.8,17.7,0.1
114,2023-02-02 04:15:00,2023-02-02 04:30:00,113.0,38.0,,72.4,47.4,1.04,,24.3,21.2,0.1
115,2023-02-02 04:30:00,2023-02-02 04:45:00,113.0,38.0,,72.0,46.7,1.04,,24.6,20.4,0.1
116,2023-02-02 04:45:00,2023-02-02 05:00:00,92.0,40.0,,70.9,45.0,1.09,,23.7,15.6,0.1
117,2023-02-02 05:00:00,2023-02-02 05:15:00,92.0,40.0,,71.4,45.8,1.09,,21.6,14.0,0.1
118,2023-02-02 05:15:00,2023-02-02 05:30:00,92.0,40.0,,70.3,45.6,1.11,,20.4,12.2,0.1
119,2023-02-02 05:30:00,2023-02-02 05:45:00,92.0,40.0,,68.2,44.9,1.06,,20.0,14.2,0.1
120,2023-02-02 05:45:00,2023-02-02 06:00:00,99.0,44.0,,68.1,44.1,1.09,,19.4,16.1,0.1
121,2023-02-02 06:00:00,2023-02-02 06:15:00,99.0,44.0,,67.9,44.3,1.13,,19.1,12.5,0.1
122,2023-02-02 06:15:00,2023-02-02 06:30:00,99.0,44.0,,66.4,43.7,1.15,,19.0,13.7,0.1
123,2023-02-02 06:30:00,2023-02-02 06:45:00,99.0,44.0,,65.4,43.5,1.16,,18.9,12.9,0.1
124,2023-02-02 06:45:00,2023-02-02 07:00:00,96.0,51.0,,64.6,43.1,1.24,,19.3,9.2,0.1
125,2023-02-02 07:00:00,2023-02-02 07:15:00,96.0,51.0,,64.9,43.4,1.31,,19.6,10.6,0.1
126,2023-02-02 07:15:00,2023-02-02 07:30:00,96.0,51.0,,64.8,43.6,1.36,,19.3,12.1,0.1
127,2023-02-02 07:30:00,2023-02-02 07:45:00,96.0,51.0,,65.1,43.5,1.32,,18.7,15.8,0.1
128,2023-02-02 07:45:00,2023-02-02 08:00:00,111.0,69.0,,66.2,44.6,1.19,,18.9,25.6,0.1
129,2023-02-02 08:00:00,2023-02-02 08:15:00,111.0,69.0,,67.7,44.7,1.13,,19.1,34.7,0.1
130,2023-02-02 08:15:00,2023-02-02 08:30:00,111.0,69.0,,68.4,43.9,1.26,,19.4,33.2,0.1
131,2023-02-02 08:30:00,2023-02-02 08:45:00,111.0,69.0,,69.3,43.6,1.12,,19.8,34.4,0.1
132,2023-02-02 08:45:00,2023-02-02 09:00:00,151.0,63.0,,69.3,42.9,1.08,,22.4,,0.1
133,2023-02-02 09:00:00,2023-02-02 09:15:00,151.0,63.0,,69.6,42.4,1.09,,24.0,,0.1
134,2023-02-02 09:15:00,2023-02-02 09:30:00,151.0,63.0,,71.4,42.6,1.09,,24.7,43.3,0.1
135,2023-02-02 09:30:00,2023-02-02 09:45:00,151.0,63.0,,73.0,42.5,1.09,,24.4,45.0,0.1
136,2023-02-02 09:45:00,2023-02-02 10:00:00,113.0,42.0,,74.8,43.0,,,25.7,47.9,0.1
137,2023-02-02 10:00:00,2023-02-02 10:15:00,113.0,42.0,,75.9,43.4,,,28.8,49.3,0.1
138,2023-02-02 10:15:00,2023-02-02 10:30:00,113.0,42.0,,75.3,43.0,1.95,,28.3,48.3,0.1
139,2023-02-02 10:30:00,2023-02-02 10:45:00,113.0,42.0,,,,,,,,
140,2023-02-02 10:45:00,2023-02-02 11:00:00,113.0,40.0,,73.3,42.6,1.12,,28.5,50.5,0.1
141,2023-02-02 11:00:00,2023-02-02 11:15:00,113.0,40.0,,74.3,43.5,1.11,,27.8,49.6,0.1
142,2023-02-02 11:15:00,2023-02-02 11:30:00,113.0,40.0,,73.7,43.1,1.12,,28.0,48.2,0.1
143,2023-02-02 11:30:00,2023-02-02 11:45:00,113.0,40.0,,73.4,42.8,1.13,,29.1,50.2,0.1
144,2023-02-02 11:45:00,2023-02-02 12:00:00,105.0,31.0,,,,1.12,,,50.8,0.1
145,2023-02-02 12:00:00,2023-02-02 12:15:00,105.0,31.0,,,,1.12,,,49.6,0.1
146,2023-02-02 12:15:00,2023-02-02 12:30:00,105.0,31.0,,,,1.16,,23.7,44.3,0.1
147,2023-02-02 12:30:00,2023-02-02 12:45:00,105.0,31.0,,73.3,45.3,1.19,,22.8,41.7,0.1
148,2023-02-02 12:45:00,2023-02-02 13:00:00,114.0,36.0,,74.3,46.4,1.21,,25.8,41.5,0.1
149,2023-02-02 13:00:00,2023-02-02 13:15:00,114.0,36.0,,74.3,46.7,1.23,,25.0,41.6,0.1
150,2023-02-02 13:15:00,2023-02-02 13:30:00,114.0,36.0,,73.3,46.4,1.18,,22.9,45.7,0.1
151,2023-02-02 13:30:00,2023-02-02 13:45:00,114.0,36.0,,73.5,47.1,1.11,,21.7,50.1,0.1
152,2023-02-02 13:45:00,2023-02-02 14:00:00,135.0,30.0,,74.1,47.1,1.08,,19.9,50.5,0.1
153,2023-02-02 14:00:00,2023-02-02 14:15:00,135.0,30.0,,76.4,48.1,1.06,,19.5,53.3,0.1
154,2023-02-02 14:15:00,2023-02-02 14:30:00,135.0,30.0,,76.1,47.6,1.06,,19.1,51.4,0.1
155,2023-02-02 14:30:00,2023-02-02 14:45:00,135.0,30.0,,76.1,47.9,1.06,,18.7,53.4,0.1
156,2023-02-02 14:45:00,2023-02-02 15:00:00,146.0,27.0,,76.5,47.7,1.05,,18.6,55.3,0.1
157,2023-02-02 15:00:00,2023-02-02 15:15:00,146.0,27.0,,78.0,48.3,1.06,,18.0,55.4,0.1
158,2023-02-02 15:15:00,2023-02-02 15:30:00,146.0,27.0,,78.5,48.1,1.05,,17.8,55.5,0.1
159,2023-02-02 15:30:00,2023-02-02 15:45:00,146.0,27.0,,78.8,48.0,1.08,,17.7,54.5,0.1
160,2023-02-02 15:45:00,2023-02-02 16:00:00,133.0,21.0,,78.9,48.1,1.08,,18.0,55.8,0.1
161,2023-02-02 16:00:00,2023-02-02 16:15:00,133.0,21.0,,80.2,48.3,1.08,,18.0,54.4,0.1
162,2023-02-02 16:15:00,2023-02-02 16:30:00,133.0,21.0,,80.8,48.2,1.05,,17.8,54.1,0.1
163,2023-02-02 16:30:00,2023-02-02 16:45:00,133.0,21.0,,80.1,47.5,1.1,,18.0,53.3,0.1
164,2023-02-02 16:45:00,2023-02-02 17:00:00,138.0,26.0,,79.8,47.3,1.12,,19.1,53.3,0.1
165,2023-02-02 17:00:00,2023-02-02 17:15:00,138.0,26.0,,80.7,47.7,1.15,,21.6,51.2,0.1
166,2023-02-02 17:15:00,2023-02-02 17:30:00,138.0,26.0,,81.7,48.8,1.13,,25.8,48.5,0.1
167,2023-02-02 17:30:00,2023-02-02 17:45:00,138.0,26.0,,83.4,50.4,1.16,,26.1,43.7,0.1
168,2023-02-02 17:45:00,2023-02-02 18:00:00,129.0,31.0,,87.0,53.1,1.18,,25.1,29.2,0.1
169,2023-02-02 18:00:00,2023-02-02 18:15:00,129.0,31.0,,89.8,55.1,1.37,,24.3,17.0,0.1
170,2023-02-02 18:15:00,2023-02-02 18:30:00,129.0,31.0,,90.9,56.3,1.45,,24.0,12.0,0.1
171,2023-02-02 18:30:00,2023-02-02 18:45:00,129.0,31.0,,91.4,57.0,1.63,,24.4,9.2,0.1
172,2023-02-02 18:45:00,2023-02-02 19:00:00,129.0,86.0,,92.6,58.9,2.05,,24.7,4.7,0.1
173,2023-02-02 19:00:00,2023-02-02 19:15:00,129.0,86.0,,94.2,62.9,2.26,,24.9,5.5,0.1
174,2023-02-02 19:15:00,2023-02-02 19:30:00,129.0,86.0,,95.4,66.5,1.98,,25.0,5.5,0.2
175,2023-02-02 19:30:00,2023-02-02 19:45:00,129.0,86.0,,95.1,68.9,1.68,,25.2,4.9,0.2
176,2023-02-02 19:45:00,2023-02-02 20:00:00,442.0,120.0,,95.6,71.0,1.71,,25.0,4.3,0.2
177,2023-02-02 20:00:00,2023-02-02 20:15:00,442.0,120.0,,97.0,72.8,1.72,,24.5,4.9,0.2
178,2023-02-02 20:15:00,2023-02-02 20:30:00,442.0,120.0,,97.0,73.8,1.67,,24.6,5.0,0.2
179,2023-02-02 20:30:00,2023-02-02 20:45:00,442.0,120.0,,96.2,74.4,1.79,,25.0,4.7,0.2
180,2023-02-02 20:45:00,2023-02-02 21:00:00,436.0,92.0,,94.8,75.6,1.87,,25.6,5.2,0.2
181,2023-02-02 21:00:00,2023-02-02 21:15:00,436.0,92.0,,95.5,78.0,1.77,,25.4,5.1,0.2
182,2023-02-02 21:15:00,2023-02-02 21:30:00,436.0,92.0,,95.5,79.5,1.8,,22.9,5.2,0.2
183,2023-02-02 21:30:00,2023-02-02 21:45:00,436.0,92.0,,94.7,81.0,1.83,,21.2,5.4,0.2
184,2023-02-02 21:45:00,2023-02-02 22:00:00,439.0,72.0,,94.2,82.8,1.95,,20.3,5.3,0.2
185,2023-02-02 22:00:00,2023-02-02 22:15:00,439.0,72.0,,94.0,84.3,1.76,,19.5,5.7,0.2
186,2023-02-02 22:15:00,2023-02-02 22:30:00,439.0,72.0,,92.7,84.7,1.77,,18.8,5.4,0.2
187,2023-02-02 22:30:00,2023-02-02 22:45:00,439.0,72.0,,92.2,83.8,1.94,,18.2,6.7,0.2
188,2023-02-02 22:45:00,2023-02-02 23:00:00,307.0,78.0,,91.0,83.0,1.97,,18.2,6.3,0.2
189,2023-02-02 23:00:00,2023-02-02 23:15:00,307.0,78.0,,90.3,81.4,1.87,,18.4,7.2,0.2
190,2023-02-02 23:15:00,2023-02-02 23:30:00,307.0,78.0,,87.2,78.8,1.83,,18.5,8.8,0.2
191,2023-02-02 23:30:00,2023-02-02 23:45:00,307.0,78.0,,85.4,76.2,1.6,,18.3,12.1,0.2
192,2023-02-02 23:45:00,2023-02-03 00:00:00,234.0,59.0,,83.7,75.0,,,19.0,8.9,0.2
193,2023-02-03 00:00:00,2023-02-03 00:15:00,234.0,59.0,,85.1,74.9,1.44,,18.4,9.5,0.2
194,2023-02-03 00:15:00,2023-02-03 00:30:00,234.0,59.0,,84.3,72.6,1.4,,18.4,14.8,0.2
195,2023-02-03 00:30:00,2023-02-03 00:45:00,234.0,59.0,,82.9,70.5,1.26,,18.5,19.3,0.2
196,2023-02-03 00:45:00,2023-02-03 01:00:00,158.0,67.0,,80.7,68.2,1.24,,19.0,18.8,0.2
197,2023-02-03 01:00:00,2023-02-03 01:15:00,158.0,67.0,,78.8,66.0,1.21,,20.5,18.3,0.2
198,2023-02-03 01:15:00,2023-02-03 01:30:00,158.0,67.0,,76.6,63.4,1.18,,23.2,15.1,0.2
199,2023-02-03 01:30:00,2023-02-03 01:45:00,158.0,67.0,,76.4,61.8,1.12,,24.8,16.3,0.2
200,2023-02-03 01:45:00,2023-02-03 02:00:00,150.0,62.0,,76.1,61.2,1.19,,25.8,14.5,0.2
201,2023-02-03 02:00:00,2023-02-03 02:15:00,150.0,62.0,,76.6,60.6,1.21,,27.0,11.8,0.2
202,2023-02-03 02:15:00,2023-02-03 02:30:00,150.0,62.0,,77.0,59.2,1.2,,26.4,8.3,0.2
203,2023-02-03 02:30:00,2023-02-03 02:45:00,150.0,62.0,,77.4,58.8,1.12,,26.0,12.2,0.2
204,2023-02-03 02:45:00,2023-02-03 03:00:00,150.0,56.0,,76.8,58.3,1.12,,25.9,14.4,0.2
205,2023-02-03 03:00:00,2023-02-03 03:15:00,150.0,56.0,,76.2,57.2,1.12,,26.1,15.5,0.2
206,2023-02-03 03:15:00,2023-02-03 03:30:00,150.0,56.0,,76.5,56.9,1.09,,25.4,15.7,0.2
207,2023-02-03 03:30:00,2023-02-03 03:45:00,150.0,56.0,,76.3,56.3,1.26,,25.4,8.0,0.2
208,2023-02-03 03:45:00,2023-02-03 04:00:00,122.0,62.0,,75.2,56.0,1.4,,25.8,5.1,0.2
209,2023-02-03 04:00:00,2023-02-03 04:15:00,122.0,62.0,,75.5,56.6,1.39,,25.8,5.0,0.2
210,2023-02-03 04:15:00,2023-02-03 04:30:00,122.0,62.0,,75.6,57.1,1.42,,25.6,4.9,0.2
211,2023-02-03 04:30:00,2023-02-03 04:45:00,122.0,62.0,,77.1,58.2,1.44,,25.0,4.8,0.2
212,2023-02-03 04:45:00,2023-02-03 05:00:00,151.0,77.0,,76.5,58.9,1.4,,25.5,4.3,0.2
213,2023-02-03 05:00:00,2023-02-03 05:15:00,151.0,77.0,,76.9,60.0,1.45,,25.2,5.1,0.2
214,2023-02-03 05:15:00,2023-02-03 05:30:00,151.0,77.0,,75.8,60.9,1.59,,21.9,5.6,0.2
215,2023-02-03 05:30:00,2023-02-03 05:45:00,151.0,77.0,,74.7,61.6,1.42,,20.4,5.1,0.2
216,2023-02-03 05:45:00,2023-02-03 06:00:00,202.0,75.0,,72.9,61.8,1.28,,19.8,5.3,0.2
217,2023-02-03 06:00:00,2023-02-03 06:15:00,202.0,75.0,,72.6,61.9,1.21,,19.1,6.4,0.2
218,2023-02-03 06:15:00,2023-02-03 06:30:00,202.0,75.0,,70.1,59.9,1.16,,19.4,6.9,0.2
219,2023-02-03 06:30:00,2023-02-03 06:45:00,202.0,75.0,,68.5,58.3,1.16,,19.1,7.3,0.2
220,2023-02-03 06:45:00,2023-02-03 07:00:00,190.0,58.0,,67.2,57.0,1.19,,18.5,6.6,0.2
221,2023-02-03 07:00:00,2023-02-03 07:15:00,190.0,58.0,,67.0,56.3,1.21,,18.5,7.2,0.2
222,2023-02-03 07:15:00,2023-02-03 07:30:00,190.0,58.0,,65.1,54.2,1.24,,19.0,8.6,0.2
223,2023-02-03 07:30:00,2023-02-03 07:45:00,190.0,58.0,,64.5,53.4,1.41,,19.0,12.1,0.2
224,2023-02-03 07:45:00,2023-02-03 08:00:00,117.0,100.0,,65.8,53.6,1.4,,19.3,15.8,0.2
225,2023-02-03 08:00:00,2023-02-03 08:15:00,117.0,100.0,,66.3,53.1,1.18,,20.0,25.2,0.2
226,2023-02-03 08:15:00,2023-02-03 08:30:00,117.0,100.0,,66.5,52.6,1.19,,20.3,29.2,0.2
